"","A..4.."
"897","Denmark:Sjaelland"
"898","India:North Sentinal Island"
"899","Philippines:Magalawa Island"
"900","Indonesia:Damar"
"901","Indonesia:Rupat"
"902","Indonesia:Kasiruta"
"903","Brazil:?"
"904","India:Kavaratti Island"
"905","Indonesia:Bangka"
"906","Indonesia:Tobingtinggi"
"907","Cuba:Cayos de las Doce Leguas"
"908","Paracel Islands:Cresent Group:3"
"909","Solomon Islands:Maramasike"
"910","Grenada"
"911","Spain:Minorca"
"912","Bahamas:Eleuthera Island"
"913","Mexico:Guadalupe Island"
"914","Greece:Crete"
"915","Japan:Hokkaido"
"916","Brazil:Ihla Mexiana"
"917","Solomon Islands:Parara"
"918","South Korea:Ullung Do"
"919","Antarctica:Korff Ice Rise"
"920","Maldives:?"
"921","Chile:Isla San Felix"
"922","Chile:Isla Mornington"
"923","New Zealand:Pukapuka"
